Subject,Stimulus,code,End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y, Amplitude [F],Position X AOI,Position Y AOI, Velocity  Average [F/s],Velocity  Peak [F/s],Peak Velocity at [%],Eye L/R,Number
1,10a right.jpg,2,1489,239,16,256,564.1,373.9,671.4,370.2,1.4,359.4,359.9,84.3,222,100,Left,1
1,10a right.jpg,2,1489,406,33,439,691.1,347,411.5,348.3,4.3,316.1,381.7,128.9,364.2,50,Left,2
1,10a right.jpg,2,1489,656,16,673,342.8,377.4,340.5,380.6,0.2,526.4,368.8,9.6,17.2,0,Left,3
1,10p right.jpg,2,1492,244,33,277,526.6,365.3,734.6,355.4,3,690.4,358.1,90.2,231.4,50.2,Left,1
1,11a left.jpg,2,1492,510,16,527,591,372.6,594.5,372.8,0.1,690.4,358.1,7.6,10.4,100,Left,1
1,11a left.jpg,2,1492,710,16,727,650.2,340,656.4,334.4,0.1,359.4,359.9,7,17.1,100,Left,2
1,11a left.jpg,2,1492,1427,66,1494,689.1,300.4,701.4,230.3,7.5,316.1,381.7,112,178,25.1,Left,3
1,11p right.jpg,2,1492,379,33,412,516.9,392,336.1,392.4,2.9,524.7,366.9,87.8,197.8,49.8,Left,1
1,11p right.jpg,2,1492,579,50,629,341.8,398.9,683.9,392.8,6.8,721.9,334.2,135.3,320.4,33.3,Left,2
1,11p right.jpg,2,1492,1229,66,1296,735.3,357.6,771.2,339.1,8.8,721.9,334.2,131.7,244.1,24.9,Left,3
1,11p right.jpg,2,1492,1379,116,1496,766.7,324.7,730.5,333.5,8.8,543.2,368.5,75.5,291.1,14.3,Left,4
1,12a left.jpg,2,1492,293,16,310,530.3,368,622.1,368.1,1.3,631.6,354.2,77.5,190,100,Left,1
1,12a left.jpg,2,1492,643,16,660,703,352.4,704.7,345.9,0.2,677.3,339.2,10.8,13.9,100,Left,2
1,13a left.jpg,2,1485,352,16,369,523.9,388.8,616,387.3,1.4,677.3,339.2,85.3,190.7,100,Left,1
1,13a left.jpg,2,1485,552,33,586,693.7,380,474.7,378.5,3.4,306.9,395.4,102.3,305.5,49.7,Left,2
1,13a left.jpg,2,1485,1019,16,1035,404.1,403.2,403.1,405.5,0.1,523.8,389.2,4.4,6.2,100,Left,3
1,13p right.jpg,2,1487,387,16,404,570.4,387,641.6,378.7,1.3,696.3,375.6,76.8,148.3,100,Left,1
1,13p right.jpg,2,1487,987,16,1004,714.3,369.3,713.5,367.7,0.1,774,320.1,4.4,7.3,100,Left,2
1,14a left.jpg,2,1492,265,16,281,587.5,372.4,711.7,370.2,1.8,696.3,375.6,107.1,256.9,100,Left,1
1,14p right.jpg,2,1483,250,16,267,581,378.1,664.6,371.6,1.7,306.9,395.4,102.9,173.4,100,Left,1
1,15a right.jpg,2,1484,417,33,451,538.2,364.4,401.7,368.9,2.6,527.8,372.3,75.9,180.4,49.8,Left,1
1,15a right.jpg,2,1484,767,16,784,333.9,388.7,334.2,391.6,0.1,679.6,362.4,5.4,6.4,100,Left,2
1,15p right.jpg,2,1485,535,33,569,542,417.2,367.8,417.1,3,711.1,322.1,90.5,199.3,49.8,Left,1
1,16a right.jpg,2,1485,368,33,401,513.8,371.9,344.6,374.4,3.6,679.6,362.4,106.9,192.3,50,Left,1
1,16p left.jpg,2,1491,724,16,741,460.9,408.3,393.7,404.8,1.3,520.3,381.7,75.6,139.2,100,Left,1
1,17a left.jpg,2,1492,263,16,279,507.3,379.7,413.7,370.9,1.3,438.7,390.6,78.2,194.5,100,Left,1
1,17a left.jpg,2,1492,913,16,929,343.3,390.1,322.1,395.5,0.2,368.4,396.8,14.6,45.2,100,Left,2
1,17p right.jpg,2,1486,253,16,270,572.6,358,685,352.8,1.4,515.7,393.8,86.3,232.9,100,Left,1
1,17p right.jpg,2,1486,486,16,503,727.4,336.4,752.2,316,0.8,683.2,383.8,45.4,66.5,100,Left,2
1,17p right.jpg,2,1486,603,133,736,763.6,334.6,696.4,335.5,13.3,683.2,383.8,100,233.2,12.5,Left,3
1,18a left.jpg,2,1492,282,16,299,538.1,359.4,631.6,356.4,1.5,368.4,396.8,88.5,193.5,100,Left,1
1,18a left.jpg,2,1492,949,16,965,709.4,352.4,712.5,349.5,0.1,534.5,391.1,5.5,8.9,100,Left,2
1,18p left.jpg,2,1485,385,16,402,534.1,386.2,626.3,384.5,1.5,710.7,385.8,87.4,190.9,100,Left,1
1,18p left.jpg,2,1485,652,16,669,710.5,371.2,712.7,371.2,0.1,708.2,365.3,4,4.6,100,Left,2
1,18p left.jpg,2,1485,769,33,802,629.9,369.8,408.8,375.2,4.6,710.7,385.8,139.2,260,50,Left,3
1,18p left.jpg,2,1485,1202,16,1219,335.4,361.5,328.5,360.4,0.2,708.2,365.3,9.3,14.5,100,Left,4
1,19a right.jpg,2,1492,293,16,310,535,375.1,450.4,379.7,1.1,540.5,379.4,66.7,175.4,100,Left,1
1,19a right.jpg,2,1492,477,16,493,361.5,371.7,352.2,371.8,0.1,762.9,346.2,7.9,19.1,100,Left,2
1,19p right.jpg,2,1492,243,16,259,518.6,368.4,627.9,364.2,1.7,521.9,379.1,99.4,226.3,100,Left,1
1,19p right.jpg,2,1492,376,16,393,709.6,349.7,710.8,346.8,0.1,710.6,356.6,3.8,6.7,100,Left,2
1,1a left.jpg,2,1492,327,16,344,589.7,378.8,623.9,366.5,1,710.6,356.6,58.1,135,0,Left,1
1,1a left.jpg,2,1492,794,16,810,683.8,330.7,686.2,326.4,0.1,338.1,375,7.9,10.2,100,Left,2
1,1p right.jpg,2,1492,342,16,358,564.3,397.6,637.6,390.8,1.7,333,391.3,101.1,162.6,100,Left,1
1,1p right.jpg,2,1492,475,16,492,695.1,369.6,693.4,367.6,0.1,535.2,371.2,3.6,5.5,100,Left,2
1,20a right.jpg,2,1492,262,16,279,541.5,373.7,656.4,372.3,1.3,338.1,375,81,237.7,100,Left,1
1,20a right.jpg,2,1492,596,33,629,694.4,367.5,446,375.1,4.4,333,391.3,130.7,321.9,50,Left,2
1,20a right.jpg,2,1492,712,16,729,352,380.6,350.3,381.5,0.1,326.5,418.9,6.1,7.5,0,Left,3
1,20p left.jpg,2,1489,339,16,355,533.6,370.2,607.5,367,1.4,543.6,403.9,85.6,153,100,Left,1
1,20p left.jpg,2,1489,539,16,555,690.5,355.2,693.2,358.1,0.1,326.5,418.9,8.5,11,100,Left,2
1,21a left.jpg,2,1489,205,16,222,455.5,375.1,428.5,381.7,0.9,298.7,378.8,55.7,113.9,0,Left,1
1,21a left.jpg,2,1489,306,33,339,495.4,389.6,681.9,374.7,4.1,523.5,371.1,122.7,230,100,Left,2
1,21p left.jpg,2,1492,259,16,276,530.4,374.7,429.9,376.6,1.1,298.7,378.8,67.3,207.9,100,Left,1
1,21p left.jpg,2,1492,609,133,742,376.9,365.4,355.2,361.2,21.7,364,412,162.9,471,50,Left,2
1,21p left.jpg,2,1492,859,16,876,353.8,352.6,352.8,354.1,0.1,516.6,397.4,7,13.4,100,Left,3
1,22a left.jpg,2,1488,288,16,304,606.1,378.5,648.1,376.1,1.2,364,412,70.6,161,0,Left,1
1,22p left.jpg,2,1492,246,16,263,508.9,370.8,402.3,372.5,1.3,357.6,382.7,77.7,220.7,100,Left,1
1,23a left.jpg,2,1491,408,16,425,533.4,380.6,630.4,379.5,1.2,332.1,398.1,69.2,200.5,100,Left,1
1,23a left.jpg,2,1491,1191,16,1208,712,373.7,714.8,373.1,0.1,519.1,379.1,3.6,5.7,100,Left,2
